"","nx_0","j_4","s_1","j_2","k_3","k_4","k_2","k_6","B_1","k_5"
"1",0.514303030303031,0.0076565656565647,0.0101212121212108,0.00686868686868691,0.00557575757575679,0.00569696969696987,0.004141414141414,0.00793939393939325,0.0064646464646454,0.00705050505050475
"2",0.538343434343434,0.00852525252525216,0.00701010101010069,0.00777777777777644,0.00725252525252562,0.00420202020201965,0.0072929292929288,0.00767676767676606,0.00690909090908975,0.00709090909090693
"3",0.512323232323233,0.00795959595959539,0.00626262626262564,0.00892929292929179,0.00650505050504957,0.00941414141414099,0.00727272727272688,0.00727272727272599,0.00608080808080758,0.0092525252525244
"4",0.527474747474747,0.00606060606060477,0.00727272727272632,0.0057171717171709,0.00739393939393851,0.00523232323232226,0.00620202020201954,0.00915151515151524,0.00385858585858567,0.00676767676767553
"5",0.519131313131313,0.00529292929292913,0.0056767676767665,0.00814141414141412,0.00474747474747472,0.00856565656565489,0.00753535353535373,0.00507070707070612,0.00557575757575746,0.00866666666666593
"6",0.510141414141414,0.00595959595959517,0.00579797979797958,0.00721212121212078,0.00773737373737315,0.00587878787878748,0.00698989898989866,0.00551515151515136,0.00868686868686752,0.0036161616161613
"7",0.517696969696969,0.00496969696969674,0.00777777777777833,0.01,0.00597979797979831,0.00591919191919255,0.00288888888888839,0.00351515151515214,0.00577777777777755,0.00561616161616019
"8",0.535131313131313,0.00593939393939347,0.0058989898989894,0.00597979797979731,0.00769696969696809,0.00587878787878693,0.00612121212121197,0.00634343434343343,0.0104444444444431,0.00335353535353455
"9",0.519454545454546,0.010383838383837,0.00905050505050409,0.00890909090909109,0.00844444444444403,0.00797979797979731,0.0075959595959596,0.00747474747474663,0.00745454545454483,0.00729292929292913
"10",0.536242424242424,0.00644444444444403,0.00408080808080769,0.00430303030303059,0.00741414141414054,0.00872727272727258,0.00385858585858556,0.00880808080808004,0.00753535353535417,0.0071515151515148
"11",0.523024242424242,0.00691919191919125,0.0068949494949489,0.00738383838383799,0.00687474747474693,0.00674949494949445,0.00598989898989871,0.00687676767676703,0.0068787878787873,0.00658585858585775
