"","diff_1","d_0","diff_2","wd_real_0","wd_imag_0","b_10","i_7","j_3","log_4","dual_6"
"1",0.674456575792741,0.67158532643929,0.36045045045045,0.0608977940674256,0.04827043905703,0.0144557384793895,0.00228228228228228,0.00264264264264241,0.00305905905905901,0.00180580580580564
"2",0.677423000022762,0.672152180294541,0.346780780780781,0.0517560125382155,0.033469551389272,0.0150838598636294,0.0025345345345345,0.00235635635635628,0.00194794794794789,0.00229029029029104
"3",0.683822771377913,0.671445375006797,0.353091091091091,0.0496637620394701,0.0369735879495448,0.016422116871876,0.00140740740740736,0.00201801801801793,0.00203403403403424,0.00150150150150197
"4",0.692265540511096,0.670943052829587,0.359601601601601,0.0530666325653219,0.0399601563980292,0.0150152314254791,0.00248248248248251,0.00229029029029026,0.00196796796796844,0.00206806806806792
"5",0.682116485020347,0.672387388505629,0.332802802802803,0.060396410824685,0.0331042123013763,0.0142285218227743,0.00140940940940942,0.00144944944944991,0.00251851851851886,0.00275075075075115
"6",0.686495749941757,0.671575762520472,0.377875875875876,0.0486593704193174,0.0362558104243824,0.0155552097246875,0.00187987987987981,0.00201001001000939,0.00221221221221213,0.0023003003003006
"7",0.701028827933962,0.672467151533763,0.367823823823824,0.0546570717177277,0.0287747857087082,0.01498527745317,0.00219619619619621,0.0021021021021021,0.0015515515515514,0.00189989989989964
"8",0.669211506890965,0.671930064446234,0.361887887887888,0.0501685344409267,0.0384982291955839,0.0159385472932177,0.00183183183183194,0.00139939939939965,0.00181981981982005,0.00263263263263258
"9",0.678376884871842,0.672056734508293,0.336246246246246,0.0579437205395179,0.0302871118190061,0.013627006277571,0.00370770770770829,0.00334134134134201,0.00325125125125125,0.00320120120120154
"10",0.692411901339167,0.672772857569695,0.3577997997998,0.0592689927188355,0.0309271946627833,0.0139509298637758,0.00183783783783775,0.00179779779779821,0.00237837837837768,0.00179179179179206
"11",0.683760924370255,0.67193158936543,0.355436036036036,0.0546478301871443,0.0356521078905716,0.014926243907557,0.00215695695695701,0.00214074074074082,0.0022740740740741,0.00222422422422441
