"","b_0","a_0","type_1","i_3","transformer_0","i_2","f_0","i_1","n_1","s_1"
"1",0.466446034987314,0.00420202020202065,0.00454545454545474,0.00450505050505101,0.00345454545454504,0.0049494949494947,0.00561616161616207,0.00505050505050386,0.0066868686868703,0.00767676767676795
"2",0.470062698669282,0.00559595959595938,0.00830303030303081,0.00826262626262642,0.00389898989898974,0.00379797979797913,0.00739393939393962,0.00472727272727325,0.0046666666666666,0.00654545454545385
"3",0.466768023785493,0.00353535353535328,0.00606060606060688,0.00753535353535373,0.00418181818181829,0.00438383838383893,0.00515151515151502,0.00799999999999934,0.00781818181818117,0.00284848484848466
"4",0.467196810205646,0.00466666666666693,0.0073333333333333,0.00551515151515158,0.00624242424242349,0.0043838383838386,0.00551515151515125,0.00444444444444403,0.00757575757575746,0.00268686868686874
"5",0.470514739521281,0.00523232323232281,0.0063838383838376,0.00549494949494944,0.0051919191919203,0.00608080808080869,0.0044848484848482,0.00591919191919155,0.0046868686868683,0.00599999999999978
"6",0.471669374552026,0.00597979797979753,0.00424242424242482,0.00492929292929312,0.00323232323232425,0.00745454545454594,0.00531313131313194,0.00284848484848454,0.00622222222222302,0.00678787878787956
"7",0.463769950914331,0.0038787878787877,0.00579797979798002,0.00632323232323329,0.00686868686868691,0.00375757575757596,0.00624242424242438,0.00531313131313171,0.00694949494949548,0.00648484848484887
"8",0.466680780234344,0.00533333333333352,0.0078383838383842,0.00557575757575857,0.00509090909090892,0.00420202020201943,0.00571717171717179,0.00345454545454604,0.00676767676767687,0.00385858585858545
"9",0.465226277432825,0.008565656565656,0.00743434343434346,0.00684848484848477,0.00684848484848377,0.00670707070707055,0.00664646464646457,0.0063232323232334,0.00595959595959605,0.00577777777777788
"10",0.465578414215875,0.00430303030303092,0.00531313131313071,0.00743434343434402,0.00490909090909153,0.0046060606060605,0.00381818181818172,0.00587878787878793,0.00729292929293013,0.00723232323232359
"11",0.467391310451842,0.00512929292929287,0.00632525252525266,0.00624242424242459,0.00499191919191923,0.00503232323232324,0.00558989898989906,0.00519595959595956,0.00646262626262654,0.00558989898989903
