"","j_9","i_17","i_15","j_8","j_10","i_16","k_15","j_18","j_22","i_41"
"1",0.422570214695715,0.337285714285715,0.343636363636365,0.119141342457868,0.00940399571343864,0.00957142857142801,0.00375757575757663,0.00210101010100983,0.00313131313131376,0.0027070707070711
"2",0.418593730865994,0.350642857142857,0.327919191919193,0.126243086058296,0.0108714287758412,0.00749999999999973,0.002,0.00276767676767575,0.00260606060606017,0.00389898989899007
"3",0.424984792113228,0.346571428571429,0.336101010101012,0.123471786563943,0.00659678999804969,0.00750000000000017,0.00242424242424188,0.00282828282828451,0.00371717171717056,0.00351515151515192
"4",0.422096323873758,0.3455,0.32648484848485,0.120369010906609,0.00237724738025835,0.00935714285714262,0.00311111111111018,0.00331313131313105,0.00137373737373814,0.0023636363636369
"5",0.433727210182517,0.351999999999999,0.359414141414144,0.121573812477063,0.012040804349457,0.0084999999999994,0.00371717171717179,0.00307070707070667,0.00250505050505057,0.00276767676767709
"6",0.438400655390731,0.34192857142857,0.392101010101012,0.129147591998157,0.0130457862997755,0.00964285714285651,0.00341414141414231,0.00329292929292979,0.00274747474747594,0.00280808080808059
"7",0.437689152096125,0.344142857142857,0.320161616161617,0.14008772046051,0.00834164748524757,0.010285714285714,0.0038383838383842,0.00363636363636322,0.00420202020201987,0.00177777777777843
"8",0.444170802856064,0.363642857142856,0.325696969696971,0.120518929945098,0.0108475655804017,0.00699999999999901,0.00232323232323317,0.00351515151515169,0.00305050505050553,0.00206060606060654
"9",0.420615135375147,0.338499999999999,0.309797979797981,0.114625296454202,0.0114772378230609,0.00900000000000034,0.00482828282828329,0.00450505050504946,0.0044646464646475,0.00442424242424289
"10",0.445253403891121,0.370571428571428,0.361171717171719,0.120476279759437,0.00909438156277331,0.00714285714285734,0.0037979797979798,0.00397979797979864,0.00349494949494999,0.00268686868686929
"11",0.43081014213404,0.349078571428571,0.340248484848486,0.123565485708118,0.00940968849683038,0.00854999999999971,0.00332121212121232,0.00330101010101006,0.0031292929292932,0.00290101010101048
